lane_id,network_id,network_revision,company_cd,subs_cd,from_site_cd,to_site_cd,from_country,to_country,transport_mode,route_priority,from_latitude,from_longitude,to_latitude,to_longitude,great_circle_km,route_factor,route_distance_km,speed_km_per_day,origin_handling_days,departure_wait_days,customs_days,destination_handling_days,linehaul_days,p50_lead_time_days,variability_factor,p90_lead_time_days,planning_lead_time_days,source_type,calculation_method,confidence,status,calculation_reference_url,effective_from
V100-V101-SEA,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V101,대한민국,일본,SEA,1,37.5665,126.978,35.6762,139.6503,1149.4,1.35,1552,600,2,4,3,2,2.59,14,1.5,21,21,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V100-V101-AIR,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V101,대한민국,일본,AIR,2,37.5665,126.978,35.6762,139.6503,1149.4,1.05,1207,18000,1,1,2,1,0.07,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V100-V102-SEA,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V102,대한민국,중국,SEA,1,37.5665,126.978,31.2304,121.4737,866.5,1.35,1170,600,2,4,3,2,1.95,13,1.5,20,20,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V100-V102-AIR,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V102,대한민국,중국,AIR,2,37.5665,126.978,31.2304,121.4737,866.5,1.05,910,18000,1,1,2,1,0.05,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V100-V103-SEA,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V103,대한민국,사우디,SEA,1,37.5665,126.978,24.7136,46.6753,7550.4,1.35,10193,600,2,4,3,2,16.99,28,1.5,42,42,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V100-V103-AIR,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V103,대한민국,사우디,AIR,2,37.5665,126.978,24.7136,46.6753,7550.4,1.05,7928,18000,1,1,2,1,0.44,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V100-V104-SEA,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V104,대한민국,UAE,SEA,1,37.5665,126.978,25.2048,55.2708,6783.4,1.35,9158,600,2,4,3,2,15.26,27,1.5,41,41,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V100-V104-AIR,NET-C100,SYNTH-20260902-V1,DSE,C100,V100,V104,대한민국,UAE,AIR,2,37.5665,126.978,25.2048,55.2708,6783.4,1.05,7123,18000,1,1,2,1,0.4,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
V110-V111-SEA,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V111,베트남,인도네시아,SEA,1,10.8231,106.6297,-6.2088,106.8456,1894,1.35,2557,600,2,4,3,2,4.26,16,1.5,24,24,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://developer.searoutes.com/reference/getsearoute,2026-09-02
V110-V111-AIR,NET-C110,SYNTH-20260902-V1,DSE,C110,V110,V111,베트남,인도네시아,AIR,2,10.8231,106.6297,-6.2088,106.8456,1894,1.05,1989,18000,1,1,2,1,0.11,6,1.3,8,8,SYNTHETIC_CALCULATED,GEODESIC_MODE_FACTOR_V1,LOW,DRAFT,https://www.oag.com/airline-schedules-data,2026-09-02
