network_id,network_revision,company_cd,subs_cd,site_cd,country_name,node_role,echelon_level,parent_site_cd,reference_city,latitude,longitude,source_type,status,effective_from
NET-C100,SYNTH-20260902-V1,DSE,C100,V100,대한민국,HUB_WITH_LOCAL_DEMAND,1,,서울/인천,37.5665,126.978,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C100,SYNTH-20260902-V1,DSE,C100,V101,일본,SPOKE,2,V100,도쿄/요코하마,35.6762,139.6503,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C100,SYNTH-20260902-V1,DSE,C100,V102,중국,SPOKE,2,V100,상하이,31.2304,121.4737,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C100,SYNTH-20260902-V1,DSE,C100,V103,사우디,SPOKE,2,V100,리야드/담맘,24.7136,46.6753,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C100,SYNTH-20260902-V1,DSE,C100,V104,UAE,SPOKE,2,V100,두바이/제벨알리,25.2048,55.2708,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C110,SYNTH-20260902-V1,DSE,C110,V110,베트남,HUB_WITH_LOCAL_DEMAND,1,,호찌민,10.8231,106.6297,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C110,SYNTH-20260902-V1,DSE,C110,V111,인도네시아,SPOKE,2,V110,자카르타,-6.2088,106.8456,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C110,SYNTH-20260902-V1,DSE,C110,V112,태국,SPOKE,2,V110,방콕/램차방,13.7563,100.5018,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C110,SYNTH-20260902-V1,DSE,C110,V113,필리핀,SPOKE,2,V110,마닐라,14.5995,120.9842,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C110,SYNTH-20260902-V1,DSE,C110,V114,싱가포르,SPOKE,2,V110,싱가포르,1.3521,103.8198,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C120,SYNTH-20260902-V1,DSE,C120,V120,러시아,HUB_WITH_LOCAL_DEMAND,1,,모스크바,55.7558,37.6173,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C120,SYNTH-20260902-V1,DSE,C120,V121,카자흐스탄,SPOKE,2,V120,알마티,43.222,76.8512,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C120,SYNTH-20260902-V1,DSE,C120,V122,우즈베키스탄,SPOKE,2,V120,타슈켄트,41.2995,69.2401,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C120,SYNTH-20260902-V1,DSE,C120,V123,몽골,SPOKE,2,V120,울란바토르,47.8864,106.9057,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C120,SYNTH-20260902-V1,DSE,C120,V124,벨라루스,SPOKE,2,V120,민스크,53.9006,27.559,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C130,SYNTH-20260902-V1,DSE,C130,V130,폴란드,HUB_WITH_LOCAL_DEMAND,1,,바르샤바,52.2297,21.0122,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C130,SYNTH-20260902-V1,DSE,C130,V131,체코,SPOKE,2,V130,프라하,50.0755,14.4378,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C130,SYNTH-20260902-V1,DSE,C130,V132,헝가리,SPOKE,2,V130,부다페스트,47.4979,19.0402,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C130,SYNTH-20260902-V1,DSE,C130,V133,루마니아,SPOKE,2,V130,부쿠레슈티,44.4268,26.1025,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C130,SYNTH-20260902-V1,DSE,C130,V134,우크라이나,SPOKE,2,V130,키이우,50.4501,30.5234,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C140,SYNTH-20260902-V1,DSE,C140,V140,영국,HUB_WITH_LOCAL_DEMAND,1,,런던,51.5074,-0.1278,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C140,SYNTH-20260902-V1,DSE,C140,V141,독일,SPOKE,2,V140,프랑크푸르트,50.1109,8.6821,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C140,SYNTH-20260902-V1,DSE,C140,V142,프랑스,SPOKE,2,V140,파리,48.8566,2.3522,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C140,SYNTH-20260902-V1,DSE,C140,V143,네덜란드,SPOKE,2,V140,로테르담,51.9244,4.4777,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
NET-C140,SYNTH-20260902-V1,DSE,C140,V144,스위스,SPOKE,2,V140,취리히,47.3769,8.5417,SYNTHETIC_CALCULATED,DRAFT,2026-09-02
